Method,Mean,Std
Baseline,0.9200,0.0000
RCP,1.0000,0.0000
Bi-level,1.0000,0.0000
Bimodal+Random,0.9400,0.0000
Random+RL,1.0000,0.0000
GA+RL,1.0000,0.0000
Onion+Ra,1.0000,0.0000
Onion+RL,0.8000,0.0000
SOLO+Ra,0.5000,0.0000
SOLO+RL,1.0000,0.0000
ROMEN+Ra,0.2600,0.0000
ROMEN+RL,1.0000,0.0000
