Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9179,1.6094,2.5722,0.3888
RCP,0.9179,1.6094,3.0926,0.5000
Bi-level,0.9179,1.6094,3.1407,0.3672
Bimodal+Random,0.9179,1.6094,2.8370,0.4462
Random+RL,0.9179,1.6094,2.6741,0.4382
GA+RL,0.9179,1.6094,2.5296,0.5000
Onion+Ra,0.9179,1.6094,2.1415,0.4964
Onion+RL,0.9179,1.6094,2.4526,0.4745
SOLO+Ra,0.9179,1.6094,2.2537,0.3443
SOLO+RL,0.9179,1.6094,2.4407,0.4778
ROMEN+Ra,0.9179,1.6094,2.2315,0.1873
ROMEN+RL,0.9179,1.6094,3.0926,0.5000
