Method,R_random,R_degree,Weighted_R
Random+RL,0.3927,0.3515,0.3721
ROMEN+RL,0.3464,0.3847,0.36555
Bi-level,0.3738,0.3288,0.3513
RCP,0.3035,0.3784,0.34095
SOLO+RL,0.3736,0.3056,0.3396
GA+RL,0.3599,0.2749,0.3174
Onion+Ra,0.2757,0.3441,0.3099
Onion+RL,0.1951,0.4185,0.30679999999999996
ROMEN+Ra,0.2701,0.2201,0.24509999999999998
Bimodal+Random,0.3616,0.1209,0.24125
Baseline,0.2296,0.2164,0.223
SOLO+Ra,0.2655,0.0954,0.18045
