Method,R_random,R_degree,Weighted_R
Random+RL,0.3773,0.3692,0.37324999999999997
Bi-level,0.339,0.3774,0.3582
RCP,0.3215,0.3784,0.34995
ROMEN+RL,0.2954,0.3847,0.34004999999999996
Onion+RL,0.2534,0.4021,0.32775
Onion+Ra,0.2908,0.3639,0.32735000000000003
GA+RL,0.3425,0.2828,0.31265
SOLO+RL,0.2747,0.2524,0.26355
SOLO+Ra,0.2974,0.1599,0.22865
Baseline,0.2664,0.154,0.2102
ROMEN+Ra,0.2426,0.1212,0.1819
Bimodal+Random,0.3075,0.0229,0.16519999999999999
