Method,Mean,Std
Baseline,0.4690,0.1217
RCP,1.0000,0.0000
Bi-level,0.2500,0.0000
Bimodal+Random,0.4112,0.1068
Random+RL,0.6392,0.2064
GA+RL,0.7388,0.1958
Onion+Ra,0.7348,0.0511
Onion+RL,0.7624,0.0462
SOLO+Ra,0.6470,0.0782
SOLO+RL,0.6402,0.1840
ROMEN+Ra,0.4428,0.0879
ROMEN+RL,0.3500,0.0000
