Method,Mean,Std
Baseline,0.3105,0.0492
RCP,0.4794,0.0000
Bi-level,0.2120,0.0000
Bimodal+Random,0.2731,0.0307
Random+RL,0.3912,0.0522
GA+RL,0.4305,0.0430
Onion+Ra,0.4562,0.0142
Onion+RL,0.4632,0.0111
SOLO+Ra,0.4169,0.0262
SOLO+RL,0.4018,0.0453
ROMEN+Ra,0.3099,0.0421
ROMEN+RL,0.2722,0.0000
