Stage,Mean Time (s),Total Time (s),Min Time (s),Max Time (s),Iterations
Construct_Random,0.0010,0.0010,0.0010,0.0010,1
Construct_BA,0.0015,0.0015,0.0015,0.0015,1
Construct_Two,0.0054,0.0054,0.0054,0.0054,1
Construct_Three,25.0248,25.0248,25.0248,25.0248,1
Construct_Onion,4.8316,4.8316,4.8316,4.8316,1
Construct_SOLO,0.0338,0.0338,0.0338,0.0338,1
Construct_ROMEN,7.2239,7.2239,7.2239,7.2239,1
Construct_BimodalRL,61.7563,61.7563,61.7563,61.7563,1
Construct_UNITY,0.0591,0.0591,0.0591,0.0591,1
Simulation_Run,1.2387,1.2387,1.2387,1.2387,1
Total_Iteration,100.1791,100.1791,100.1791,100.1791,1
