x_val,y_val
0.0,1.0
0.01,4.539814927842882
0.02,3.9175927056206596
0.03,3.314814927842882
0.04,2.764814927842882
0.05,2.1925927056206596
0.07,1.6565544899929776
0.08,1.158427034870962
0.09,1.1401515440507368
0.11,0.7471264367816092
0.12,0.7273255725239598
0.15,0.3517006692432222
0.16,0.34991395329854574
0.17,0.3340592268036633
0.18,0.3350969950358073
0.19,0.3166071653366089
0.2,0.31491861464102056
0.21,0.3027167197985527
0.22,0.30405069326425527
0.23,0.2855889671727231
0.24,0.2748571523030599
0.25,0.2063170252619563
0.26,0.20446836131892793
0.27,0.18268299102783203
0.28,0.17009837190869828
0.29,0.16808389936174664
0.3,0.17051991172458814
0.31,0.13032213379355037
0.32,0.122684734970776
0.33,0.12454359459154533
0.34,0.0867160650400015
0.35000000000000003,0.0
1.0,0.0
