Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.51,1.0,1.0,0.54,0.59,0.63,0.65,0.7,0.88,0.49,0.34,1.0
0.55,1.0,1.0,0.49,1.0,0.63,0.69,0.71,0.9,0.69,0.38,1.0
0.54,1.0,1.0,0.73,0.48,0.52,0.74,0.7,0.52,1.0,0.31,1.0
0.45,1.0,1.0,0.54,0.66,1.0,0.78,0.73,0.49,1.0,0.56,1.0
0.53,1.0,1.0,0.72,1.0,1.0,0.74,0.76,0.78,0.63,0.35,1.0
0.45,1.0,1.0,0.39,0.49,1.0,0.78,0.79,0.63,0.52,0.45,1.0
0.63,1.0,1.0,0.46,1.0,0.59,0.77,0.8,0.72,0.71,0.31,1.0
0.42,1.0,1.0,0.48,1.0,0.62,0.72,0.75,0.58,0.57,0.34,1.0
0.4,1.0,1.0,0.39,1.0,0.61,0.7,0.67,0.52,1.0,0.75,1.0
0.63,1.0,1.0,0.67,0.73,1.0,0.73,0.77,0.74,1.0,0.5,1.0
