Method,Mean,Std
Baseline,0.5110,0.0769
RCP,1.0000,0.0000
Bi-level,1.0000,0.0000
Bimodal+Random,0.5410,0.1195
Random+RL,0.7950,0.2161
GA+RL,0.7600,0.1982
Onion+Ra,0.7300,0.0397
Onion+RL,0.7380,0.0407
SOLO+Ra,0.6760,0.1426
SOLO+RL,0.7610,0.2053
ROMEN+Ra,0.4290,0.1336
ROMEN+RL,1.0000,0.0000
