Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9502,2.7081,2.4049,0.3308
RCP,0.9502,2.7081,2.5792,0.3566
Bi-level,0.9202,2.5684,3.6778,0.4120
Bimodal+Random,0.9202,2.5684,3.1612,0.4092
Random+RL,0.1786,0.0000,0.3065,0.4216
GA+RL,0.9146,2.5710,2.8927,0.4186
Onion+Ra,0.9502,2.7081,2.4290,0.2953
Onion+RL,0.9502,2.7081,2.1552,0.2495
SOLO+Ra,0.9502,2.7081,2.8143,0.4320
SOLO+RL,0.9502,2.7081,3.0739,0.3944
ROMEN+Ra,0.9502,2.7081,2.3848,0.2896
ROMEN+RL,0.9502,2.7081,2.6763,0.2518
