Method,Mean,Std
Baseline,0.3308,0.0000
RCP,0.3566,0.0000
Bi-level,0.4120,0.0000
Bimodal+Random,0.4092,0.0000
Random+RL,0.4216,0.0000
GA+RL,0.4186,0.0000
Onion+Ra,0.2953,0.0000
Onion+RL,0.2495,0.0000
SOLO+Ra,0.4320,0.0000
SOLO+RL,0.3944,0.0000
ROMEN+Ra,0.2896,0.0000
ROMEN+RL,0.2518,0.0000
