Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.6321,1.6094,2.6778,0.4227
RCP,0.6321,1.6094,3.0222,0.4723
Bi-level,0.6321,1.6094,3.1407,0.4825
Bimodal+Random,0.6321,1.6094,2.4963,0.4710
Random+RL,0.5507,1.3863,2.2333,0.4729
GA+RL,0.6321,1.6094,2.5611,0.4513
Onion+Ra,0.6321,1.6094,2.2681,0.4425
Onion+RL,0.6321,1.6094,2.8126,0.4693
SOLO+Ra,0.6321,1.6094,2.3219,0.4730
SOLO+RL,0.6321,1.6094,2.4637,0.4469
ROMEN+Ra,0.6321,1.6094,2.3074,0.4663
ROMEN+RL,0.6321,1.6094,3.0222,0.4647
