Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,1.0000,2.9957,2.7994,0.3607
RCP,1.0000,2.9957,2.9727,0.3580
Bi-level,1.0000,2.9957,4.6841,0.4224
Bimodal+Random,1.0000,2.9957,4.3498,0.3524
Random+RL,0.3846,0.2914,0.3048,0.4148
GA+RL,0.9892,2.7146,2.9772,0.3741
Onion+Ra,1.0000,2.9957,3.0181,0.3693
Onion+RL,1.0000,2.9957,3.0352,0.3144
SOLO+Ra,1.0000,2.9957,3.2410,0.3057
SOLO+RL,1.0000,2.9957,3.5020,0.3348
ROMEN+Ra,1.0000,2.9957,2.8123,0.1537
ROMEN+RL,1.0000,2.9957,2.8940,0.2024
