Method,Mean,Std
Baseline,0.3607,0.0000
RCP,0.3580,0.0000
Bi-level,0.4224,0.0000
Bimodal+Random,0.3524,0.0000
Random+RL,0.4148,0.0000
GA+RL,0.3741,0.0000
Onion+Ra,0.3693,0.0000
Onion+RL,0.3144,0.0000
SOLO+Ra,0.3057,0.0000
SOLO+RL,0.3348,0.0000
ROMEN+Ra,0.1537,0.0000
ROMEN+RL,0.2024,0.0000
