Method,Mean,Std
Baseline,0.6599,0.0000
RCP,0.6751,0.0000
Bi-level,0.7614,0.0000
Bimodal+Random,0.5076,0.0000
Random+RL,0.9239,0.0000
GA+RL,0.6142,0.0000
Onion+Ra,0.6650,0.0000
Onion+RL,0.7259,0.0000
SOLO+Ra,0.4264,0.0000
SOLO+RL,0.6041,0.0000
ROMEN+Ra,0.2843,0.0000
ROMEN+RL,0.3604,0.0000
