Method,Mean,Std
Baseline,0.4242,0.0000
RCP,0.3134,0.0000
Bi-level,0.8798,0.0000
GA+RL,0.6657,0.0000
Onion+Ra,0.3783,0.0000
Onion+RL,N/A,N/A
ROMEN+Ra,0.4242,0.0000
ROMEN+RL,N/A,N/A
BimodalRL,0.3108,0.0000
UNITY+Ra,0.3678,0.0000
UNITY+RL,N/A,N/A
