Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9592,2.7726,2.6034,0.3391
RCP,0.9592,2.7726,3.0721,0.1542
Bi-level,0.1707,0.7376,0.3749,0.3144
Bimodal+Random,0.1707,0.7376,0.3680,0.3487
Random+RL,0.1813,0.0432,0.2235,0.1459
GA+RL,0.8597,2.3069,2.0411,0.3672
Onion+Ra,0.9446,2.7109,2.5117,0.2023
Onion+RL,0.9446,2.7109,2.5899,0.2647
SOLO+Ra,0.9592,2.7726,2.4533,0.2893
SOLO+RL,0.9592,2.7726,2.6675,0.2539
ROMEN+Ra,0.9592,2.7726,2.7492,0.2887
ROMEN+RL,0.9592,2.7726,3.0828,0.2775
BimodalRL,0.9592,2.7726,3.0828,0.1561
ass
