Method,Mean,Std
Baseline,0.0411,0.0000
RCP,0.3784,0.0000
Bi-level,0.3288,0.0000
Bimodal+Random,0.1239,0.0000
Random+RL,0.4527,0.0000
GA+RL,0.2168,0.0000
Onion+Ra,0.3622,0.0000
Onion+RL,0.3765,0.0000
SOLO+Ra,0.1281,0.0000
SOLO+RL,0.1790,0.0000
ROMEN+Ra,0.2416,0.0000
ROMEN+RL,0.3847,0.0000
