Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.6321,1.6094,2.4130,0.4577
RCP,0.6321,1.6094,3.2481,0.4791
Bi-level,0.6321,1.6094,2.6963,0.4543
Bimodal+Random,0.6321,1.6094,2.3222,0.4701
Random+RL,0.6321,1.6094,2.5685,0.4880
GA+RL,0.6321,1.6094,2.4556,0.4945
Onion+Ra,0.6321,1.6094,2.7000,0.4668
Onion+RL,0.6321,1.6094,2.7852,0.4629
SOLO+Ra,0.6321,1.6094,2.3237,0.4904
SOLO+RL,0.6321,1.6094,2.4144,0.4666
ROMEN+Ra,0.6321,1.6094,2.5000,0.4478
ROMEN+RL,0.6321,1.6094,3.1185,0.4790
BimodalRL,0.6321,1.6094,3.1185,0.4751
