Method,Mean,Std
Baseline,0.4577,0.0000
RCP,0.4791,0.0000
Bi-level,0.4543,0.0000
Bimodal+Random,0.4701,0.0000
Random+RL,0.4880,0.0000
GA+RL,0.4945,0.0000
Onion+Ra,0.4668,0.0000
Onion+RL,0.4629,0.0000
SOLO+Ra,0.4904,0.0000
SOLO+RL,0.4666,0.0000
ROMEN+Ra,0.4478,0.0000
ROMEN+RL,0.4790,0.0000
BimodalRL,0.4751,0.0000
