Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,2.4944,0.4032
RCP,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,3.1556,0.4718
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.3489,0.3715
Random+RL,50,141,[11; 8; 8; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.6722,0.5000
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 7; 6],0.6321,1.6094,2.5074,0.4644
Onion+Ra,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,2.2556,0.4721
Onion+RL,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,2.6674,0.4721
SOLO+Ra,50,141,[9; 8; 8; 8; 8; 8; 8; 7; 7; 7],0.6321,1.6094,2.2630,0.4091
SOLO+RL,50,141,[9; 8; 8; 8; 8; 8; 8; 7; 7; 7],0.6321,1.6094,2.4333,0.3831
ROMEN+Ra,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,2.3074,0.2081
ROMEN+RL,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,3.1556,0.4718
BimodalRL,50,141,[20; 16; 15; 15; 13; 12; 12; 11; 7; 7],0.6321,1.6094,3.1556,0.4718
UNITY+Ra,50,141,[9; 9; 9; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.3537,0.4352
UNITY+RL,50,141,[9; 9; 9; 8; 8; 8; 8; 8; 7; 7],0.6321,1.6094,2.4952,0.3018
