Method,Mean,Std
Baseline,0.2161,0.0000
RCP,0.2208,0.0000
Bi-level,0.3672,0.0000
Bimodal+Random,0.2994,0.0000
Random+RL,0.3599,0.0000
GA+RL,0.3834,0.0000
Onion+Ra,0.2727,0.0000
Onion+RL,0.2789,0.0000
SOLO+Ra,0.3449,0.0000
SOLO+RL,0.3807,0.0000
ROMEN+Ra,0.1347,0.0000
ROMEN+RL,0.3110,0.0000
