Method,Mean,Std
Baseline,0.5000,0.0000
RCP,0.4722,0.0000
Bi-level,0.3751,0.0000
GA+RL,0.3909,0.0000
Onion+Ra,0.5000,0.0000
Onion+RL,N/A,N/A
ROMEN+Ra,0.5000,0.0000
ROMEN+RL,N/A,N/A
BimodalRL,0.4474,0.0000
UNITY+Ra,0.5000,0.0000
UNITY+RL,N/A,N/A
