Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9592,2.7726,2.6657,0.0411
RCP,0.9592,2.7726,3.0721,0.3784
Bi-level,0.8427,2.4288,2.4800,0.3288
Bimodal+Random,0.8427,2.4288,2.0296,0.0500
Random+RL,0.1773,0.2527,0.3107,0.3180
GA+RL,0.8840,2.4018,2.2580,0.4014
Onion+Ra,0.9446,2.7109,2.5663,0.2804
Onion+RL,0.9446,2.7109,2.7103,0.4379
SOLO+Ra,0.9592,2.7726,2.3253,0.2171
SOLO+RL,0.9592,2.7726,2.5843,0.2768
ROMEN+Ra,0.9592,2.7726,2.6767,0.2303
ROMEN+RL,0.9592,2.7726,3.1088,0.3847
