Method,Mean,Std
Baseline,0.0719,0.0000
RCP,0.6144,0.0000
Bi-level,0.7647,0.0000
Bimodal+Random,0.0784,0.0000
Random+RL,0.8627,0.0000
GA+RL,0.6928,0.0000
Onion+Ra,0.6928,0.0000
Onion+RL,0.7778,0.0000
SOLO+Ra,0.3072,0.0000
SOLO+RL,0.4967,0.0000
ROMEN+Ra,0.5033,0.0000
ROMEN+RL,0.6144,0.0000
