Method,Mean,Std
Baseline,0.0411,0.0000
RCP,0.3784,0.0000
Bi-level,0.3288,0.0000
Bimodal+Random,0.0500,0.0000
Random+RL,0.3180,0.0000
GA+RL,0.4014,0.0000
Onion+Ra,0.2804,0.0000
Onion+RL,0.4379,0.0000
SOLO+Ra,0.2171,0.0000
SOLO+RL,0.2768,0.0000
ROMEN+Ra,0.2303,0.0000
ROMEN+RL,0.3847,0.0000
