Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,2.2741,0.4604
RCP,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,3.0593,0.4757
Bi-level,50,141,[7; 7; 7; 7; 6; 6; 6; 6; 6; 6],0.6321,1.6094,2.4833,0.4576
Bimodal+Random,50,141,[7; 7; 7; 7; 6; 6; 6; 6; 6; 6],0.6321,1.6094,2.4833,0.4617
Random+RL,50,141,[11; 10; 9; 9; 9; 9; 9; 9; 8; 8],0.6321,1.6094,2.7537,0.5000
GA+RL,50,141,[8; 7; 7; 7; 7; 7; 7; 7; 7; 6],0.6321,1.6094,2.5222,0.4225
Onion+Ra,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,2.1907,0.4181
Onion+RL,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,2.6100,0.4171
SOLO+Ra,50,141,[9; 8; 8; 8; 8; 7; 7; 7; 7; 7],0.6321,1.6094,2.1519,0.4517
SOLO+RL,50,141,[9; 8; 8; 8; 8; 7; 7; 7; 7; 7],0.6321,1.6094,2.3774,0.4583
ROMEN+Ra,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,2.5000,0.4399
ROMEN+RL,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,2.9889,0.4875
BimodalRL,50,141,[18; 18; 16; 15; 11; 11; 10; 9; 8; 8],0.6321,1.6094,2.9889,0.4801
UNITY+Ra,50,141,[10; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.2241,0.4695
UNITY+RL,50,141,[10; 8; 8; 8; 8; 8; 7; 7; 7; 7],0.6321,1.6094,2.4370,0.4990
