Method,Mean,Std
Baseline,0.1532,0.0976
RCP,0.3784,0.0000
Bi-level,0.2834,0.0000
Bimodal+Random,0.1313,0.0805
Random+RL,0.0961,0.0696
GA+RL,0.2823,0.0400
Onion+Ra,0.3613,0.0254
Onion+RL,0.4088,0.0126
SOLO+Ra,0.1766,0.0794
SOLO+RL,0.2283,0.0718
ROMEN+Ra,0.1433,0.0843
ROMEN+RL,0.3640,0.0000
