Method,Mean,Std
Baseline,0.2765,0.1754
RCP,0.6144,0.0000
Bi-level,0.7124,0.0000
Bimodal+Random,0.2667,0.2118
Random+RL,0.1686,0.1724
GA+RL,0.4784,0.1099
Onion+Ra,0.6758,0.0907
Onion+RL,0.7327,0.0417
SOLO+Ra,0.3484,0.1971
SOLO+RL,0.4092,0.1007
ROMEN+Ra,0.2379,0.1566
ROMEN+RL,0.5556,0.0000
