Method,Mean,Std
Baseline,0.1451,0.1017
RCP,0.4108,0.0000
Bi-level,0.2866,0.0000
Bimodal+Random,0.2457,0.0588
Random+RL,0.2901,0.1094
GA+RL,0.3663,0.0638
Onion+Ra,0.2199,0.1197
Onion+RL,0.3132,0.0269
SOLO+Ra,0.2917,0.0633
SOLO+RL,0.3784,0.0771
ROMEN+Ra,0.1031,0.0603
ROMEN+RL,0.3631,0.0000
