Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.5889,0.2343
RCP,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.9963,0.3392
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.2944,0.3749
Random+RL,50,141,[10; 10; 9; 9; 8; 8; 8; 8; 8; 7],0.5507,1.3863,2.1889,0.4884
GA+RL,50,141,[8; 7; 7; 7; 7; 7; 7; 6; 6; 6],0.6321,1.6094,2.5704,0.5000
Onion+Ra,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.2107,0.4791
Onion+RL,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.6204,0.4673
SOLO+Ra,50,141,[8; 8; 8; 8; 7; 7; 7; 7; 6; 6],0.6321,1.6094,2.2637,0.4083
SOLO+RL,50,141,[8; 8; 8; 8; 7; 7; 7; 7; 6; 6],0.6321,1.6094,2.4111,0.3159
ROMEN+Ra,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,2.3389,0.2663
ROMEN+RL,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,3.1185,0.5000
BimodalRL,50,141,[19; 16; 15; 13; 11; 10; 10; 9; 9; 8],0.6321,1.6094,3.1185,0.5000
UNITY,50,141,[9; 8; 7; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.4204,0.4784
