Method,Mean,Std
Baseline,0.4467,0.0000
RCP,0.5431,0.0000
Bi-level,0.5736,0.0000
Bimodal+Random,0.1320,0.0000
Random+RL,0.2690,0.0000
GA+RL,0.4162,0.0000
Onion+Ra,0.6193,0.0000
Onion+RL,0.7310,0.0000
SOLO+Ra,0.2843,0.0000
SOLO+RL,0.6447,0.0000
ROMEN+Ra,0.5279,0.0000
ROMEN+RL,0.5025,0.0000
