Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9817,2.9957,2.6868,0.1870
RCP,0.9817,2.9957,2.9727,0.2677
Bi-level,0.9817,2.9957,4.6841,0.3033
Bimodal+Random,0.9817,2.9957,4.0596,0.1033
Random+RL,0.6900,1.8094,1.4923,0.1666
GA+RL,0.9776,2.9444,3.6643,0.2762
Onion+Ra,0.9817,2.9957,2.7881,0.3819
Onion+RL,0.9817,2.9957,3.0353,0.4254
SOLO+Ra,0.9817,2.9957,3.1315,0.2025
SOLO+RL,0.9817,2.9957,3.4634,0.3898
ROMEN+Ra,0.9817,2.9957,2.7059,0.2310
ROMEN+RL,0.9817,2.9957,2.8940,0.2566
