Method,Mean,Std
Baseline,0.1870,0.0000
RCP,0.2677,0.0000
Bi-level,0.3033,0.0000
Bimodal+Random,0.1033,0.0000
Random+RL,0.1666,0.0000
GA+RL,0.2762,0.0000
Onion+Ra,0.3819,0.0000
Onion+RL,0.4254,0.0000
SOLO+Ra,0.2025,0.0000
SOLO+RL,0.3898,0.0000
ROMEN+Ra,0.2310,0.0000
ROMEN+RL,0.2566,0.0000
