Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.3981,0.3861
RCP,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.9889,0.4004
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.5926,0.3381
Random+RL,50,141,[11; 11; 10; 9; 9; 9; 8; 8; 8; 7],0.6321,1.6094,2.5515,0.3235
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 6; 6; 6],0.6321,1.6094,2.4981,0.3698
Onion+Ra,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.6093,0.4699
Onion+RL,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.5526,0.4819
SOLO+Ra,50,141,[9; 8; 8; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.2074,0.4317
SOLO+RL,50,141,[9; 8; 8; 7; 7; 7; 7; 7; 7; 7],0.6321,1.6094,2.3952,0.4108
ROMEN+Ra,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.5148,0.2965
ROMEN+RL,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.9889,0.4004
BimodalRL,50,141,[25; 17; 13; 13; 11; 10; 10; 8; 8; 8],0.6321,1.6094,2.9889,0.4004
UNITY,50,141,[9; 8; 8; 8; 8; 7; 7; 7; 7; 7],0.6321,1.6094,2.4174,0.3474
