Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,2.4389,0.4039
RCP,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,3.0519,0.4738
Bi-level,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.6963,0.4249
Bimodal+Random,50,141,[17; 15; 13; 12; 11; 10; 8; 7; 7; 7],0.6321,1.6094,2.4778,0.4091
Random+RL,50,141,[13; 10; 10; 10; 9; 9; 9; 8; 7; 7],0.6321,1.6094,2.5204,0.4812
GA+RL,50,141,[7; 7; 7; 7; 7; 7; 7; 7; 7; 6],0.6321,1.6094,2.4741,0.3919
Onion+Ra,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,2.0863,0.4789
Onion+RL,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,2.5715,0.4948
SOLO+Ra,50,141,[8; 8; 7; 7; 7; 7; 7; 6; 6; 6],0.6321,1.6094,2.2215,0.3877
SOLO+RL,50,141,[8; 8; 7; 7; 7; 7; 7; 6; 6; 6],0.6321,1.6094,2.3526,0.3611
ROMEN+Ra,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,2.6444,0.3668
ROMEN+RL,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,3.0519,0.4738
BimodalRL,50,141,[17; 16; 15; 14; 13; 12; 9; 9; 9; 8],0.6321,1.6094,3.0519,0.4738
UNITY+Ra,50,141,[10; 10; 10; 9; 8; 8; 8; 7; 7; 7],0.6321,1.6094,2.1822,0.4077
UNITY+RL,50,141,[10; 10; 10; 9; 8; 8; 8; 7; 7; 7],0.6321,1.6094,2.3589,0.4778
