Method,Nodes,Edges,Top-10 Degrees,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,100,291,[29; 21; 19; 19; 14; 14; 14; 13; 13; 12],0.8647,2.3026,5.2139,0.0995
RCP,100,291,[29; 21; 19; 19; 14; 14; 14; 13; 13; 12],0.8647,2.3026,5.0398,0.4990
Bi-level,100,291,[84; 10; 9; 9; 9; 9; 9; 9; 9; 8],0.8647,2.3026,4.5587,0.4319
GA+RL,100,291,[8; 8; 8; 8; 8; 8; 8; 8; 8; 8],0.8647,2.3026,4.2304,0.4895
Onion+Ra,100,291,[29; 21; 19; 19; 14; 14; 14; 13; 13; 12],0.8647,2.3026,4.9269,0.0905
ROMEN+Ra,100,291,[29; 21; 19; 19; 14; 14; 14; 13; 13; 12],0.8647,2.3026,5.2139,0.0995
BimodalRL,100,291,[29; 21; 19; 19; 14; 14; 14; 13; 13; 12],0.8647,2.3026,5.0481,0.4957
UNITY+Ra,100,291,[11; 10; 10; 9; 9; 9; 9; 9; 9; 9],0.8647,2.3026,4.3954,0.0905
