Method,Mean,Std
Baseline,0.4118,0.0000
RCP,0.4183,0.0000
Bi-level,0.5752,0.0000
Bimodal+Random,0.6797,0.0000
Random+RL,0.5425,0.0000
GA+RL,0.6601,0.0000
Onion+Ra,0.2484,0.0000
Onion+RL,0.6078,0.0000
SOLO+Ra,0.3399,0.0000
SOLO+RL,0.6863,0.0000
ROMEN+Ra,0.6013,0.0000
ROMEN+RL,0.7451,0.0000
