Method,Mean,Std
Baseline,0.2317,0.0000
RCP,0.2678,0.0000
Bi-level,0.3368,0.0000
Bimodal+Random,0.3389,0.0000
Random+RL,0.3420,0.0000
GA+RL,0.3826,0.0000
Onion+Ra,0.1677,0.0000
Onion+RL,0.2707,0.0000
SOLO+Ra,0.2468,0.0000
SOLO+RL,0.3640,0.0000
ROMEN+Ra,0.3442,0.0000
ROMEN+RL,0.3883,0.0000
