Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9997,2.7726,2.5937,0.2317
RCP,0.9997,2.7726,3.0721,0.2678
Bi-level,0.9563,2.4288,2.4800,0.3368
Bimodal+Random,0.9617,2.3413,2.0510,0.3389
Random+RL,0.3734,0.1245,0.3235,0.3420
GA+RL,0.9933,2.3026,1.9340,0.3826
Onion+Ra,0.9950,2.7109,1.7388,0.1677
Onion+RL,0.9950,2.7109,2.0581,0.2707
SOLO+Ra,0.9997,2.7726,2.5034,0.2468
SOLO+RL,0.9997,2.7726,2.7201,0.3640
ROMEN+Ra,0.9997,2.7726,2.7096,0.3442
ROMEN+RL,0.9997,2.7726,3.1088,0.3883
