Epoch,Train_Reward,Test_Reward
1,2.1035121232992817,2.1775303860090363
2,2.1025018845911765,2.1403172956103034
3,2.102585465117857,2.1497134617122353
4,2.1055925325539,2.1548671732749245
5,2.1030490109256244,2.165173202963504
6,2.103170900204257,2.1732677792254727
7,2.1039376566993004,2.180579875906189
8,2.103612347974352,2.1693094095134238
9,2.1038003155294627,2.1815118615402107
10,2.1038358038618563,2.181433791915752
11,2.102987878010786,2.181145373147053
12,2.1034204974357564,2.1812217410452885
13,2.1037236345994375,2.181073391823282
14,2.1048435649093507,2.1802007011387143
15,2.1047063844734457,2.1801932204985404
16,2.1058484162138007,2.1806512478682314
17,2.10674726253981,2.1803190803419303
18,2.1078485362057418,2.180482223928221
19,2.1096608563857195,2.180825262089093
20,2.1108990716618234,2.1804915091538133
21,2.1102173957773713,2.1805473364743237
22,2.111715456850929,2.1803927578718856
23,2.116874564061608,2.180528544909166
24,2.121608768933598,2.180759022601433
25,2.130657969223689,2.180164890869272
26,2.1429510918061627,2.1803342568176167
27,2.1579330603997717,2.180190624273708
28,2.165758026607455,2.180059500009137
29,2.17603641572962,2.180316781728435
30,2.179947538569546,2.180070455571993
31,2.182616892084349,2.180378333111183
32,2.183225871677438,2.179741362467193
33,2.184152199423293,2.1799013451601175
34,2.1866875937604378,2.1803060015830438
35,2.187628734796838,2.180404011588259
36,2.187704990524567,2.180481408313194
37,2.189155950933052,2.180260539585828
38,2.190279444906627,2.1804478377934
39,2.191342052838914,2.1802821433186943
40,2.1907669124402003,2.1803045062853745
41,2.1916796276360055,2.180547905559645
42,2.192039444131406,2.180234829510467
43,2.192717657950126,2.1804176545468303
44,2.1931024304885693,2.1802963101590143
45,2.193333537323236,2.18033545391493
46,2.1943915339104656,2.1803692862352317
47,2.194404958220726,2.180231823536629
48,2.1948177394666115,2.1801193744123397
49,2.1956321236827905,2.18028314867754
50,2.1962232436679714,2.180386056381145
51,2.1961145612126036,2.180365064943894
52,2.196832081750399,2.1806007852602813
53,2.196997947779664,2.1800530066062795
54,2.1976861181356697,2.1804295186772125
55,2.1974094103458457,2.1802346646647064
56,2.197620800921958,2.180230176866365
57,2.197851406371764,2.180212721625667
58,2.1987349823891944,2.1803279707322747
59,2.1994721439013825,2.180314971761864
60,2.199200382945553,2.180420157313043
61,2.1998832683476315,2.180526061914531
62,2.200418457313255,2.1803717407450764
63,2.200779750043707,2.1805222509924707
64,2.201195644358467,2.1806044721768494
65,2.202370933880282,2.1803762496870607
66,2.2025721285990123,2.1804388969332917
67,2.2031865142427964,2.1804371060560173
68,2.2032170408990774,2.180469318864328
69,2.2039022395032863,2.1802901226989295
70,2.20399461210704,2.1803206033790965
71,2.20481562595899,2.180301499790416
72,2.205068526007642,2.180426316759361
73,2.2054790964858575,2.1804177886880733
74,2.2057817480890867,2.1803281369437086
75,2.2061454067897612,2.1804404864336426
76,2.2063584969408696,2.1804823749036166
77,2.2066633636004758,2.180579259886989
78,2.2065505653683077,2.18065023209209
79,2.20755762661231,2.1804314222077665
80,2.2074073683804696,2.180821596980157
81,2.207945823743325,2.1805975082508833
82,2.207812570168864,2.180455098134661
83,2.20844169170149,2.1806911336863775
84,2.2084340246918517,2.1806658134542425
85,2.209033021559012,2.1806252760581626
86,2.209053030152869,2.1808273162416567
87,2.2090656644118107,2.1807338546482558
88,2.2092406898783117,2.1807039961812547
89,2.209163877672084,2.180591340774673
90,2.2097362739694826,2.1805929906393566
91,2.2095702176149823,2.1805972625882717
92,2.2099388996448734,2.1806584518764573
93,2.2099155649964475,2.1807424481560713
94,2.2098403738138312,2.180590725693561
95,2.2098308472024337,2.1807195321046606
96,2.210450894343997,2.180783830220371
97,2.210389363875607,2.180844127024565
98,2.2103979035712196,2.180725140754659
99,2.210369505923617,2.1808199679365723
100,2.210757311009311,2.1808625268397255
