Epoch,Train_Reward,Test_Reward
1,2.3052913990249846,2.329683748666886
2,2.3074153815658835,2.404770378365571
3,2.3070805500143243,2.4277900732927367
4,2.309062075795236,2.428017410241937
5,2.3069939460307873,2.430436138759897
6,2.3080655953220357,2.430944766513704
7,2.3066764756759555,2.428059293239465
8,2.306569798026631,2.4315886123751365
9,2.305478159366118,2.431765002299367
10,2.3087383773574985,2.431787170685831
11,2.3065950331351397,2.431414563792232
12,2.3085126609018536,2.431486029996629
13,2.3079941709819316,2.431409609681346
14,2.309702921330287,2.4272489197923957
15,2.3098967275377174,2.4306621841234994
16,2.310215539528109,2.4317934852591216
17,2.310697715533133,2.431792403245908
18,2.3118330289003364,2.431725037479508
19,2.312242974686184,2.4314479312925434
20,2.3131657234957848,2.431502658388175
21,2.316288087556042,2.4313074931954906
22,2.3213430770682844,2.43133283259065
23,2.3249032929952937,2.431249650808696
24,2.3408836465297527,2.430953308964561
25,2.352020528931904,2.4309812381197564
26,2.3615214235517636,2.4309422204285647
27,2.3657543016914375,2.431232150725058
28,2.3735829795867684,2.431225014109772
29,2.3786661232925685,2.431193589594295
30,2.3852329395806806,2.4313533620352974
31,2.388545707963848,2.4311008913556673
32,2.3892060291399035,2.4311250701369076
33,2.3896977446682177,2.43112408571841
34,2.391807296415848,2.431063506240642
35,2.3926933733375253,2.4310986152763094
36,2.394443514970563,2.4312095806412763
37,2.3964086792080517,2.431014082867613
38,2.397675587870591,2.4311476211934955
39,2.3977163734218006,2.431201471916988
40,2.3980282742844823,2.431279285937017
41,2.398281455145654,2.431199087628293
42,2.399151310094366,2.431241488116702
43,2.4003976321927007,2.4310784131557184
44,2.4002470048586906,2.4312218530631378
45,2.4011206308807895,2.4311207033890674
46,2.402375300137243,2.431326768006303
47,2.402687612586973,2.431349683190708
48,2.403836986892342,2.431395783337775
49,2.404165642367361,2.4313323543436707
50,2.4045389196417024,2.4313446253215814
51,2.405134444165129,2.4313722726921205
52,2.405538861476061,2.431347919741675
53,2.40672306726809,2.4314277366614023
54,2.406821858691392,2.4313141577791813
55,2.407545663606076,2.431170730261278
56,2.407705957043773,2.431175915482761
57,2.4078328362603245,2.4311763981149164
58,2.408383622649077,2.4314186562093894
59,2.40874779476183,2.431393661968423
60,2.4092147471304637,2.431374037683994
61,2.409272462228217,2.4314119668769627
62,2.4092031845185318,2.4314035247890557
63,2.4101732148423936,2.431227887328256
64,2.4110174111818323,2.4313763978002214
65,2.411163222470194,2.4314815489315063
66,2.411200057020504,2.4314160184627065
67,2.4122467482768677,2.4313232847881583
68,2.41270537471458,2.4314128237930395
69,2.4124810258807616,2.431457721473174
70,2.413122190171908,2.4313337312603784
71,2.4133477464689954,2.431598386166507
72,2.413304303334858,2.4313508657744953
73,2.413889802259332,2.4315123225584676
74,2.413685399571636,2.4313728482900143
75,2.4138278230427686,2.431580723693606
76,2.4141597017688015,2.4316073283360904
77,2.4141722037022793,2.4314651778689793
78,2.4145715582639586,2.43160092986257
79,2.414586484316245,2.4315248981473836
80,2.414698704578429,2.4314847911633928
81,2.4151975472777196,2.4315831406946886
82,2.415138317024709,2.4315487861335265
83,2.4153071645405073,2.4314880730486976
84,2.4156491376028457,2.431519774529697
85,2.4158849305114063,2.4314947146194337
86,2.415897602328862,2.431518215200338
87,2.4160521083150868,2.431294069199175
88,2.416072686890764,2.4313907454679575
89,2.416264662580158,2.4314904747011052
90,2.4158810819286063,2.4314430779362914
91,2.415662260486118,2.431351532526046
92,2.416004421592587,2.4315218360160245
93,2.416116892683356,2.431374736162623
94,2.416383922527999,2.4314524913937117
95,2.416364570294462,2.431300612041321
96,2.4165642384933115,2.4313152474839548
97,2.416589180440796,2.431267729166392
98,2.4167571733729485,2.4314784781480254
99,2.4166769864454727,2.431493669253899
100,2.416781674080084,2.4315143892343842
