Method,Mean,Std
Baseline,1.0000,0.0000
RCP,0.8095,0.0000
Bi-level,0.7381,0.0000
Bimodal+Random,0.7857,0.0000
Random+RL,0.6905,0.0000
GA+RL,0.5476,0.0000
Onion+Ra,0.9524,0.0000
Onion+RL,0.7143,0.0000
SOLO+Ra,0.9286,0.0000
SOLO+RL,0.5000,0.0000
ROMEN+Ra,0.6667,0.0000
ROMEN+RL,0.8095,0.0000
