Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9179,1.6094,2.1509,0.4688
RCP,0.9179,1.6094,2.8874,0.4476
Bi-level,0.9179,1.6094,2.3325,0.4630
Bimodal+Random,0.9179,1.6094,1.7638,0.4677
Random+RL,0.9179,1.6094,2.2122,0.3955
GA+RL,0.9179,1.6094,1.9640,0.3680
Onion+Ra,0.8519,1.4179,1.6108,0.3903
Onion+RL,0.8519,1.4179,2.2757,0.4355
SOLO+Ra,0.9179,1.6094,1.6885,0.4289
SOLO+RL,0.9179,1.6094,1.9023,0.3368
ROMEN+Ra,0.9179,1.6094,2.0270,0.3849
ROMEN+RL,0.9179,1.6094,2.9279,0.4491
