Method,Mean,Std
Baseline,0.4688,0.0000
RCP,0.4476,0.0000
Bi-level,0.4630,0.0000
Bimodal+Random,0.4677,0.0000
Random+RL,0.3955,0.0000
GA+RL,0.3680,0.0000
Onion+Ra,0.3903,0.0000
Onion+RL,0.4355,0.0000
SOLO+Ra,0.4289,0.0000
SOLO+RL,0.3368,0.0000
ROMEN+Ra,0.3849,0.0000
ROMEN+RL,0.4491,0.0000
