Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.21947601071916306,0.23549033729289598,0.4022711999793862,0.41033145662088694,0.2508868303743977,0.3900376201396583,0.3815053595815403,0.3976307557525316,0.38422438094256484,0.35409469452961945,0.32119718364296945,0.14936848411450954
0.25584136411657094,0.31531464351052596,0.3653239325929552,0.429496804864851,0.3759115282537555,0.3790730887165348,0.36990015202659177,0.3013798474580639,0.3276598727099384,0.359201293514391,0.28748935813857607,0.26944664897317633
0.21455954804297975,0.20064271174212167,0.4190868484114509,0.38884256229225184,0.38161389110773275,0.37864012213661785,0.40767470174444065,0.36434185369373084,0.30482992347135973,0.29847595918472525,0.25744146976216853,0.3211097297018733
0.27670500399391895,0.22653661521811952,0.3957649771960112,0.43540784354144657,0.37070908809812153,0.3520998866242367,0.2622546703084337,0.3030726764410317,0.3984215388183153,0.38738028550078596,0.26713248215620083,0.33029301193022237
0.3237223710994872,0.29731116493596843,0.43777119997938624,0.40836260918859024,0.43016421448633047,0.3532311061867093,0.34643363652760956,0.28264746579401684,0.34197590765028724,0.3890243113710737,0.310568399082687,0.21080787961555308
0.26947222293797835,0.27912458450359456,0.42668602643716663,0.4035931356128733,0.34385945270426965,0.3884986214537865,0.32340555025896056,0.32024164497925744,0.3527702208250663,0.3878286737612409,0.36106199592877947,0.17746021541395038
0.2962648612435259,0.2726105542528795,0.34487725785255996,0.4248536293127883,0.43639869617872146,0.3501466541266201,0.32895057847406534,0.3270592259527429,0.40327631477234666,0.30839087582777186,0.2419758689994589,0.26058545698162794
0.21649208946378418,0.2976026050658352,0.39632151047437447,0.43253733670024996,0.3598667448272308,0.4072725785255998,0.33936307299853125,0.23720639542374194,0.39044150841299696,0.3264644283542477,0.2690392563580613,0.23379223891365405
0.30042880517405757,0.30319878121054394,0.3760762838516839,0.3513577134169909,0.41554013244350535,0.35978378726584037,0.36099211523100316,0.2276467571954959,0.32047120513283,0.3131423896518849,0.3525225076657476,0.2906659537736092
0.36145846324306224,0.21743005488417635,0.41183337627869826,0.41301866835012496,0.4114431446313999,0.39241835656677576,0.3437435002190214,0.28790593676724474,0.26664582957561395,0.29542742662784405,0.34468165889355556,0.26266694581153854
