Method,Mean,Std
Baseline,0.4650,0.1091
RCP,0.4848,0.0842
Bi-level,0.7046,0.0425
Bimodal+Random,0.7289,0.0769
Random+RL,0.7112,0.1722
GA+RL,0.6310,0.0503
Onion+Ra,0.6152,0.0861
Onion+RL,0.5812,0.0922
SOLO+Ra,0.6076,0.1111
SOLO+RL,0.5538,0.0972
ROMEN+Ra,0.5421,0.0873
ROMEN+RL,0.4360,0.1003
