Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,1.0000,2.9957,2.7028,0.2734
RCP,1.0000,2.9957,2.9727,0.2645
Bi-level,1.0000,2.9957,4.6517,0.3976
Bimodal+Random,1.0000,2.9957,4.1279,0.4098
Random+RL,0.6095,0.7258,0.5889,0.3776
GA+RL,0.9966,2.7126,3.0184,0.3751
Onion+Ra,1.0000,2.9957,2.9206,0.3464
Onion+RL,1.0000,2.9957,2.9582,0.3049
SOLO+Ra,1.0000,2.9957,3.1640,0.3491
SOLO+RL,1.0000,2.9957,3.4233,0.3419
ROMEN+Ra,1.0000,2.9957,2.7441,0.3013
ROMEN+RL,1.0000,2.9957,2.9947,0.2506
