Method,Mean,Std
Baseline,0.2734,0.0463
RCP,0.2645,0.0389
Bi-level,0.3976,0.0273
Bimodal+Random,0.4098,0.0239
Random+RL,0.3776,0.0514
GA+RL,0.3751,0.0191
Onion+Ra,0.3464,0.0370
Onion+RL,0.3049,0.0492
SOLO+Ra,0.3491,0.0429
SOLO+RL,0.3419,0.0362
ROMEN+Ra,0.3013,0.0405
ROMEN+RL,0.2506,0.0557
