Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9994,2.7081,2.3925,0.0868
RCP,0.9994,2.7081,2.5792,0.1129
Bi-level,0.9940,2.5684,3.5935,0.3553
Bimodal+Random,0.9943,2.5600,3.0815,0.1723
Random+RL,0.6077,0.7739,0.7391,0.1881
GA+RL,0.9977,2.5931,2.9745,0.3442
Onion+Ra,0.9994,2.7081,2.2721,0.3555
Onion+RL,0.9994,2.7081,2.4080,0.4263
SOLO+Ra,0.9994,2.7081,2.9028,0.2683
SOLO+RL,0.9994,2.7081,3.0321,0.3007
ROMEN+Ra,0.9994,2.7081,2.3478,0.0772
ROMEN+RL,0.9994,2.7081,2.6433,0.1107
