Method,Mean,Std
Baseline,0.1644,0.0524
RCP,0.2013,0.0000
Bi-level,0.5369,0.0000
Bimodal+Random,0.3309,0.1887
Random+RL,0.3758,0.2811
GA+RL,0.6148,0.1429
Onion+Ra,0.5752,0.1309
Onion+RL,0.7215,0.0697
SOLO+Ra,0.4383,0.1177
SOLO+RL,0.5369,0.1596
ROMEN+Ra,0.1523,0.0440
ROMEN+RL,0.1745,0.0000
