Method,Mean,Std
Baseline,0.0868,0.0240
RCP,0.1129,0.0000
Bi-level,0.3553,0.0000
Bimodal+Random,0.1723,0.0788
Random+RL,0.1881,0.0907
GA+RL,0.3442,0.0362
Onion+Ra,0.3555,0.0472
Onion+RL,0.4263,0.0234
SOLO+Ra,0.2683,0.0528
SOLO+RL,0.3007,0.0749
ROMEN+Ra,0.0772,0.0163
ROMEN+RL,0.1107,0.0000
