Method,Mean,Std
Baseline,0.1469,0.0000
RCP,0.1044,0.0000
Bi-level,0.3302,0.0000
GA+RL,0.2428,0.0000
Onion+Ra,0.1389,0.0000
Onion+RL,N/A,N/A
ROMEN+Ra,0.1469,0.0000
ROMEN+RL,N/A,N/A
BimodalRL,0.1062,0.0000
UNITY+Ra,0.1389,0.0000
UNITY+RL,N/A,N/A
