Method,Mean,Std
Baseline,0.7679,0.0242
RCP,0.7873,0.0256
Bi-level,0.7773,0.0256
Bimodal+Random,0.7590,0.0327
Random+RL,0.7640,0.0293
GA+RL,0.7622,0.0291
Onion+Ra,0.7663,0.0432
Onion+RL,0.7656,0.0265
SOLO+Ra,0.7490,0.0375
SOLO+RL,0.7577,0.0298
ROMEN+Ra,0.7623,0.0313
ROMEN+RL,0.7839,0.0202
