Method,Mean,Std
Baseline,0.4657,0.0075
RCP,0.4730,0.0063
Bi-level,0.4698,0.0067
Bimodal+Random,0.4630,0.0103
Random+RL,0.4655,0.0087
GA+RL,0.4670,0.0071
Onion+Ra,0.4616,0.0091
Onion+RL,0.4633,0.0075
SOLO+Ra,0.4630,0.0101
SOLO+RL,0.4649,0.0076
ROMEN+Ra,0.4639,0.0095
ROMEN+RL,0.4724,0.0049
