Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,1.0000,2.9957,7.4144,0.4657
RCP,1.0000,2.9957,8.6830,0.4730
Bi-level,1.0000,2.9957,8.8209,0.4698
Bimodal+Random,1.0000,2.9957,7.4108,0.4630
Random+RL,0.9999,2.9637,7.2842,0.4655
GA+RL,1.0000,2.9957,7.2473,0.4670
Onion+Ra,1.0000,2.9957,6.9077,0.4616
Onion+RL,1.0000,2.9957,7.6724,0.4633
SOLO+Ra,1.0000,2.9957,6.7279,0.4630
SOLO+RL,1.0000,2.9957,7.0545,0.4649
ROMEN+Ra,1.0000,2.9957,7.4416,0.4639
ROMEN+RL,1.0000,2.9957,8.6948,0.4724
