Method,Mean,Std
Baseline,0.1100,0.0000
RCP,0.9500,0.0000
Bi-level,0.7000,0.0000
GA+RL,0.8500,0.0000
Onion+Ra,0.1000,0.0000
Onion+RL,N/A,N/A
ROMEN+Ra,0.1100,0.0000
ROMEN+RL,N/A,N/A
BimodalRL,0.9900,0.0000
UNITY+Ra,0.1000,0.0000
UNITY+RL,N/A,N/A
