Method,Mean,Std
Baseline,0.1430,0.0000
RCP,0.3120,0.0000
Bi-level,1.0699,0.0000
GA+RL,0.3552,0.0000
Onion+Ra,0.1395,0.0000
Onion+RL,N/A,N/A
ROMEN+Ra,0.1430,0.0000
ROMEN+RL,N/A,N/A
BimodalRL,0.2635,0.0000
UNITY+Ra,0.1395,0.0000
UNITY+RL,N/A,N/A
