Method,Mean,Std
Baseline,0.4569,0.1604
RCP,0.4922,0.0853
Bi-level,0.6582,0.0540
Bimodal+Random,0.6248,0.0975
Random+RL,0.6627,0.3007
GA+RL,0.6026,0.1189
Onion+Ra,0.6464,0.0892
Onion+RL,0.5562,0.1095
SOLO+Ra,0.5739,0.0991
SOLO+RL,0.5458,0.0928
ROMEN+Ra,0.5176,0.1393
ROMEN+RL,0.5131,0.0975
