Method,Mean,Std
Baseline,0.2488,0.0761
RCP,0.2760,0.0431
Bi-level,0.3618,0.0187
Bimodal+Random,0.3476,0.0331
Random+RL,0.3262,0.1056
GA+RL,0.3401,0.0484
Onion+Ra,0.3042,0.0358
Onion+RL,0.2783,0.0511
SOLO+Ra,0.3255,0.0362
SOLO+RL,0.3158,0.0514
ROMEN+Ra,0.2906,0.0800
ROMEN+RL,0.2901,0.0668
