Method,Mean,Std
Baseline,0.4700,0.0036
RCP,0.4757,0.0029
Bi-level,0.4749,0.0032
Bimodal+Random,0.4667,0.0038
Random+RL,0.4725,0.0035
GA+RL,0.4712,0.0042
Onion+Ra,0.4668,0.0050
Onion+RL,0.4725,0.0035
SOLO+Ra,0.4706,0.0046
SOLO+RL,0.4709,0.0043
ROMEN+Ra,0.4703,0.0045
ROMEN+RL,0.4756,0.0027
