Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,1.0000,3.9120,16.4759,0.4700
RCP,1.0000,3.9120,18.9427,0.4757
Bi-level,1.0000,3.9120,18.9466,0.4749
Bimodal+Random,1.0000,3.9120,16.1138,0.4667
Random+RL,1.0000,3.8892,15.3392,0.4725
GA+RL,1.0000,3.9104,15.1963,0.4712
Onion+Ra,1.0000,3.9120,15.8220,0.4668
Onion+RL,1.0000,3.9120,17.6799,0.4725
SOLO+Ra,1.0000,3.9120,14.2178,0.4706
SOLO+RL,1.0000,3.9120,14.7132,0.4709
ROMEN+Ra,1.0000,3.9120,16.4431,0.4703
ROMEN+RL,1.0000,3.9120,18.9809,0.4756
