Method,Mean,Std
Baseline,0.0810,0.0000
RCP,0.1129,0.0000
Random,0.1269,0.0000
Hybrid,0.2679,0.0000
Bi-level,0.3553,0.0000
Bimodal+Random,0.2759,0.0000
Random+RL,0.1496,0.0000
GA+RL,0.3550,0.0000
Onion+Ra,0.3502,0.0000
Onion+RL,0.4452,0.0000
SOLO+Ra,0.3008,0.0000
SOLO+RL,0.3476,0.0000
